Fator_sul,Fator_sudeste,Fator_cap,Probabilidade
0.7453375914,0.7561282338,0.5201686181,0.00102739726
0.7398682722,0.9254653506,0.1661205368,0.00102739726
0.8899331545,0.921028454,0.3997707959,0.0009132420091
0.7064655808,0.8710693934,0.1457810835,0.0009132420091
0.50700407,0.6625585205,0.1121163905,0.000799086758
0.9594146473,0.9286951422,0.2878875381,0.000799086758
0.5608308852,0.7082153387,0.5555092629,0.000799086758
0.8853514129,0.9159820673,0.1332976375,0.000799086758
0.6125312918,0.8190035053,0.493292945,0.0006849315068
0.6190160579,0.7567251653,0.5892138263,0.0006849315068
0.4490221922,0.6011207771,0.6183701691,0.0006849315068
0.7925608654,0.8895615334,0.501127611,0.0006849315068
0.715761677,0.8468287592,0.5422341089,0.0006849315068
0.4893876765,0.6449892128,0.5894114332,0.0005707762557
0.433147043,0.5562528619,0.5845933528,0.0005707762557
0.7507017302,0.9785011605,0.3138750449,0.0005707762557
0.7296939326,0.9273776967,0.3216297309,0.0005707762557
0.7606694737,0.8052612937,0.5280481936,0.0005707762557
0.4405674112,0.6530628432,0.1239185718,0.0005707762557
0.7773227183,0.9246276578,0.407687133,0.0005707762557
0.8018464521,0.9158053309,0.367311607,0.0005707762557
0.6240499866,0.6716072081,0.6338380563,0.0004566210046
0.8239258258,0.9565143644,0.483915214,0.0004566210046
0.5191411475,0.4952445769,0.2186396481,0.0004566210046
0.5617943605,0.6793302675,0.6205382448,0.0004566210046
0.7525049321,0.780810057,0.6010991314,0.0004566210046
0.7338403773,0.9559967649,0.3669228204,0.0004566210046
0.6505471943,0.8406231082,0.537653574,0.0004566210046
0.8430426118,0.9504833141,0.139055417,0.0003424657534
0.9106609012,0.9656202743,0.3620262515,0.0003424657534
0.8254630332,0.9569023767,0.4236659298,0.0003424657534
0.7669558534,0.8933372336,0.5398621041,0.0003424657534
0.7329831386,0.9144375247,0.09590405403,0.0003424657534
0.8137480396,0.9638382973,0.3592713383,0.0003424657534
0.9518194724,0.9123682852,0.3616488103,0.0003424657534
0.578704533,0.6360646739,0.578711837,0.0003424657534
0.7540183242,0.8662895407,0.624727247,0.0003424657534
0.7535813064,0.9708840437,0.5042521553,0.0003424657534
0.517409514,0.5243880446,0.2770389798,0.0003424657534
0.6531647087,0.7977490975,0.6025833333,0.0003424657534
0.8387581225,0.8632861831,0.5210635929,0.0002283105023
0.9623637319,0.9262174419,0.4322485441,0.0002283105023
0.745450181,0.9462589512,0.4607315131,0.0002283105023
0.8267283177,0.813917926,0.5977946033,0.0002283105023
0.4832754941,0.5542731978,0.6332682292,0.0002283105023
0.9397199368,0.905179366,0.4899750496,0.0002283105023
0.6837695646,0.9228861807,0.4661351466,0.0002283105023
0.497646987,0.5940193534,0.6826944444,0.0002283105023
0.3447121561,0.4824584953,0.6932028986,0.0001141552511
0.8768710272,0.9491035261,0.07157072455,0.0001141552511
0.8911496776,0.9661311843,0.5526038647,0.0001141552511
0.8631379527,0.8564083264,0.5725497416,0.0001141552511
0.8239353475,0.8865664192,0.6014537037,0.0001141552511
